Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2012-005,(2) Predevelopment Feasibility,"Alice Griffith Phase 5 (Blocks 8, 9, 14)",,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,Candlestick Point,New Construction,Rental,01/01/2019,,,01/01/2019,09/01/2020,McCormack Baron Salazar,,Entity to be formed,,Not Applicable,,,,,,,36,36,0,100,0,0,0,0,0,30,6,4,1,2bd,36,0,0,0,0,0,30,0,0,30,0,6,0,0,0,0,0,37.718764238,-122.387736788999,"(37.718764238, -122.387736788999)"
2012-006,(2) Predevelopment Feasibility,Alice Griffith Phase 6 (Block 9),,Address not yet assigned,,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,Candlestick Point,New Construction,Rental,05/01/2019,,,05/01/2019,12/01/2020,McCormack Baron Salazar,,Entity to be formed,,Not Applicable,,,,,,,132,131,1,99,0,0,131,0,0,0,0,13,1,2bd,0,131,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,37.718812801,-122.386750480999,"(37.718812801, -122.386750480999)"
2012-018,(5) First Construction Document Issued,Natalie Gubb Commons (Transbay Block 7 ),222,Beale,St,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Multifamily,Transbay,New Construction,Rental,06/15/2016,,01/25/2016,01/25/2016,02/18/2018,Mercy Housing California,,"Mercy Housing California 64, LP",,Not Applicable,,,,,,,120,119,1,99,0,0,53,43,23,0,0,0,1,2bd,119,0,0,0,0,0,24,0,0,83,0,0,0,0,0,0,0,37.788892583,-122.393821704999,"(37.788892583, -122.393821704999)"
2012-019,(5) First Construction Document Issued,Potrero - Block X,1101,Connecticut,St,94107,1101 CONNECTICUT ST 94107,10,Potrero Hill,Bayview Hunters Point,MOHCD,HOPE SF,0,New Construction,Rental,01/17/2017,,12/13/2016,01/17/2017,12/20/2018,BRIDGE Housing Corporation,,"Potrero Housing Associates I, LP",201603172392,2016-003623PRJ,http://propertymap.sfplanning.org/?search=2016-003623PRJ,2016-003623PRL,,,,,72,71,1,99,0,2,10,50,9,0,0,8,1,2bd,71,0,0,0,0,0,53,0,0,40,0,31,0,0,0,0,0,37.752017064,-122.395965759999,"(37.752017064, -122.395965759999)"
2012-020,(5) First Construction Document Issued,455 Fell St (Parcel O),455,Fell,St,94102,0 UNKNOWN 94102,5,Western Addition,Hayes Valley,MOHCD,Multifamily,0,New Construction,Rental,10/24/2017,,05/18/2017,05/18/2017,05/20/2019,Mercy Housing California,San Francisco Housing Development Corporation,455 Fell LP,201605066751,2015-002837PRJ,http://propertymap.sfplanning.org/?search=2015-002837PRJ,"2015-001364PPA,2015-002837CUA,2015-002837ENV,2015-002837SHD",01/07/2016,,,,108,107,1,99,0,1,57,41,8,0,0,11,1,2bd,107,0,0,33,0,33,0,33,0,0,0,74,0,0,0,0,0,37.775355925,-122.425374343999,"(37.775355925, -122.425374343999)"
2013-028,(6) Complete,666 Ellis,666,Ellis,St,94109,666 ELLIS ST 94109,6,Downtown/Civic Center,Tenderloin,MOHCD,RAD Phase 1,0,Rehabilitation,Rental,11/01/2015,,,11/01/2015,02/22/2018,Community Housing Partnership,,"666 Ellis, LP",201503312390,2015-004144PRJ,http://propertymap.sfplanning.org/?search=2015-004144PRJ, ,,,,,99,99,0,100,0,77,22,0,0,0,0,5,0,,0,99,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,37.784588041,-122.417239314999,"(37.784588041, -122.417239314999)"
2013-029,(5) First Construction Document Issued,Hunters Point East / West,90,Kiska,Rd,94124,67 NORTHRIDGE RD 94124,10,Bayview,Bayview Hunters Point,MOHCD,RAD Phase 1,0,Rehabilitation,Rental,11/01/2015,,11/07/2016,11/07/2016,12/31/2018,San Francisco Housing Development Corporation,John Stewart Company,Hunters Point East West LP,"201511031578, 201511031579, 201511031580, 201511031581, 201511031582, 201511031586, 201511031587, 201511031589, 201511031590, 201511031591, 201511031592, 201511031593, 201511031594, 201511031595, 201511031596, 201511031597, 201511031598, 201511031599, 201511031600, 201511031601, 201511031602, 201511301588",2015-015745PRJ,http://propertymap.sfplanning.org/?search=2015-015745PRJ, ,,,,,213,211,2,99,0,0,17,121,34,29,10,12,2,"2bd, 3bd",211,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,37.730629169,-122.377093152999,"(37.730629169, -122.377093152999)"
2013-033,(6) Complete,990 Pacific,990,Pacific,Ave,94133,990 PACIFIC AVE 94133,3,Nob Hill,Chinatown,MOHCD,RAD Phase 1,0,Rehabilitation,Rental,11/01/2015,,,11/01/2015,02/01/2018,Chinatown Community Development Center,,"Pacific Avenue, LP",201504012567,2015-004289PRJ,http://propertymap.sfplanning.org/?search=2015-004289PRJ, ,,,,,92,91,1,99,0,74,17,0,0,0,0,7,1,1bd,0,91,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,37.79660163,-122.411385827999,"(37.79660163, -122.411385827999)"
2013-034,(6) Complete,1760 Bush,1760,Bush,St,94109,1760 BUSH ST 94109,5,Western Addition,Pacific Heights,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,05/12/2016,11/18/2016,11/18/2016,09/21/2018,John Stewart Company,Mercy Housing California,"1760 Bush, LP",201510270955,2015-014711PRJ,http://propertymap.sfplanning.org/?search=2015-014711PRJ, ,,,,,108,107,1,99,0,83,23,1,0,0,0,0,1,1bd,0,107,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,37.788182742,-122.426411775999,"(37.788182742, -122.426411775999)"
2013-035,(5) First Construction Document Issued,2698 California ,2698,California,St,94115,2698 CALIFORNIA ST 94115,2,Pacific Heights,Pacific Heights,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,10/24/2016,10/24/2016,06/01/2018,Mercy Housing California,John Stewart Company,"2698 California, LP",201510301341,2015-014736PRJ,http://propertymap.sfplanning.org/?search=2015-014736PRJ, ,,,,,40,39,1,98,0,30,8,1,0,0,0,4,1,Studio,0,39,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,37.788562329,-122.438566109999,"(37.788562329, -122.438566109999)"
2013-036,(5) First Construction Document Issued,Rosa Parks Apartments,1251,Turk,St,94115,1251 TURK ST 94115,5,Western Addition,Western Addition,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,,11/07/2016,09/11/2018,Tenderloin Neighborhood Development Corporation,,"RP Associates, LP",201511162685,2015-016398PRJ,http://propertymap.sfplanning.org/?search=2015-016398PRJ, ,,,,,203,202,1,100,0,19,100,83,0,0,0,21,1,1bd,0,202,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,37.780258587,-122.429485281999,"(37.780258587, -122.429485281999)"
2013-037,(5) First Construction Document Issued,Kennedy Towers (JFK Towers),2451,Sacramento,St,94115,2451 SACRAMENTO ST 94115,2,Pacific Heights,Pacific Heights,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,10/04/2016,10/04/2016,11/07/2018,Mercy Housing California,John Stewart Company,"JFK Tower, LP",201509025917,2015-010665PRJ,http://propertymap.sfplanning.org/?search=2015-010665PRJ,2015-010665VAR,,,,,98,97,1,99,0,76,20,1,0,0,0,0,1,1bd,0,97,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,37.789661003,-122.433194504999,"(37.789661003, -122.433194504999)"
2013-038,(5) First Construction Document Issued,1750 McAllister,1750,McAllister,St,94115,1750 MCALLISTER ST 94115,5,Western Addition,Western Addition,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,,11/07/2016,10/07/2018,Community Housing Partnership,,"1750 McAllister, LP",201509025870,2015-012129PRJ,http://propertymap.sfplanning.org/?search=2015-012129PRJ,2015-012129VAR,,,,,97,97,0,100,0,75,21,1,0,0,0,10,0,,0,97,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,37.777770253,-122.440538110999,"(37.777770253, -122.440538110999)"
2013-039,(5) First Construction Document Issued,Clementina Towers,320-330,Clementina ,St,94103,320 CLEMENTINA ST 94103,6,South of Market,South of Market,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,,11/07/2016,01/07/2019,Tenderloin Neighborhood Development Corporation,,"Clementina Towers Associates, LP",201510301361,2015-011205PRJ,http://propertymap.sfplanning.org/?search=2015-011205PRJ,2015-011205ENV,,,,,276,274,2,99,0,226,48,0,0,0,0,28,2,"1bd, 1bd",0,274,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,37.782176733,-122.402757566999,"(37.782176733, -122.402757566999)"
2013-040,(5) First Construction Document Issued,Westbrook Apartments,40,Harbor,Rd,94124,855 INNES AVE 94124,10,Bayview,Bayview Hunters Point,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,11/07/2016,11/07/2016,03/12/2019,San Francisco Housing Development Corporation,Related California / John Stewart Company,"Westbrook Housing Partners, LP","201511031566, 201511031567, 201511031568, 201511031569, 201511031570, 201511031571, 201511031572, 201511031573, 201511031574, 201511031575, 201511031576, 201511031577, 201511031585",2015-015743PRJ,http://propertymap.sfplanning.org/?search=2015-015743PRJ, ,,,,,223,221,2,99,0,0,4,57,116,44,0,28,2,"2bd, 2bd",221,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,37.731092998,-122.375400313999,"(37.731092998, -122.375400313999)"
2013-041,(5) First Construction Document Issued,Westside Courts,2501,Sutter,St,94115,1400 BAKER ST 94115,5,Western Addition,Japantown,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,,11/07/2016,12/15/2018,Related California,Tabernacle Community Development Corp,"Westide Courts Housing Partners, LP","201511051898, 201511051899, 201511051900, 201511051901, 201511051902, 201511051905",2015-015999PRJ,http://propertymap.sfplanning.org/?search=2015-015999PRJ, ,,,,,135,134,1,99,0,0,83,23,20,8,0,0,1,2bd,134,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,37.784466425,-122.442265761999,"(37.784466425, -122.442265761999)"
2013-042,(5) First Construction Document Issued,350 Ellis,350,Ellis,St,94102,350 ELLIS ST 94102,6,Downtown/Civic Center,Tenderloin,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,,11/07/2016,04/01/2019,Tenderloin Neighborhood Development Corporation,,"Ellis 350 Associates, LP",2015511182921,2015-009851PRJ,http://propertymap.sfplanning.org/?search=2015-009851PRJ,2015-009851ENV,,,,,96,96,0,100,0,72,24,0,0,0,0,5,0,,0,96,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,37.785238411,-122.412124448999,"(37.785238411, -122.412124448999)"
2013-043,(5) First Construction Document Issued,Alemany ,951,Ellsworth,St,94110,938 ELLSWORTH ST 94110,9,Bernal Heights,Bernal Heights,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,,,11/07/2016,02/01/2019,Bernal Heights Neighborhood Center,BRIDGE Housing Corporation,"Alemany Housing Associates, LP","201602189871, 201602189878, 201602189879, 201602189880, 201602189881, 201602189882, 201602189890, 201602189891, 201602189892, 201602189893, 201602189894, 201602189895, 201602189896, 201602189897, 201603162236, 201603162239, 201603162248",2015-018080PRJ,http://propertymap.sfplanning.org/?search=2015-018080PRJ,"2015-018080CUA,2015-018080VAR,2016-001269ENV,2016-001269PRJ",,,,,150,148,2,99,0,0,7,98,41,2,0,0,2,"2bd, 3bd",148,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,37.732858726,-122.417054194999,"(37.732858726, -122.417054194999)"
2013-044,(6) Complete,Mission Dolores,1855,15th,St,94103,1855 15TH ST 94103,8,Mission,Mission,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,05/16/2016,11/03/2016,11/03/2016,09/19/2018,BRIDGE Housing Corporation,Mission Economic Development Agency,"Bridge Housing Ventures, Inc, MEDA Housing LLC",201510301342,2015-012300PRJ,http://propertymap.sfplanning.org/?search=2015-012300PRJ,2015-012300ENV,,,,,91,90,1,99,0,68,22,0,0,0,0,11,1,1bd,0,90,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,37.766017308,-122.425573258999,"(37.766017308, -122.425573258999)"
2013-045,(5) First Construction Document Issued,Ping Yuen North,848-856,Pacific,Ave,94133,838 PACIFIC AVE 94133,3,Chinatown,Chinatown,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/30/2016,,,11/30/2016,09/30/2019,Chinatown Community Development Center,,"North Ping Yuen, LP",201510190132,2015-011574PRJ,http://propertymap.sfplanning.org/?search=2015-011574PRJ,"2015-011574ENV,2015-011574VAR",,,,,200,199,1,100,0,46,32,99,22,0,0,9,1,2bd,199,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,37.796996643,-122.409405351999,"(37.796996643, -122.409405351999)"
2013-046,(4) Site Work Permit Issued,1950 Mission,1950,Mission,St,94103,1950 MISSION ST 94103,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,12/01/2018,,,12/01/2018,06/01/2020,BRIDGE Housing Corporation,Mission Housing Development Corporation,1950 Mission Associates LLC,201609218371,2016-001514PRJ,http://propertymap.sfplanning.org/?search=2016-001514PRJ,"2016-001514CUA,2016-001514ENV,2016-001514PPA",,,,,157,155,2,99,0,32,36,73,14,0,0,16,2,3bd,155,0,0,40,0,40,0,0,0,0,0,155,0,0,0,0,0,37.765846245,-122.420207773999,"(37.765846245, -122.420207773999)"
2013-047,(6) Complete,3850 18th,3850,18th,St,94114,3850 18TH ST 94114,8,Castro/Upper Market,Castro/Upper Market,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/07/2016,07/06/2016,11/03/2016,11/03/2016,07/18/2018,Mission Economic Development Agency,BRIDGE Housing Corporation,"Bridge Housing Ventures, Inc, MEDA Housing LLC",201510301343,2015-014726PRJ,http://propertymap.sfplanning.org/?search=2015-014726PRJ, ,,,,,107,106,1,99,0,88,18,0,0,0,0,11,1,1bd,0,106,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,37.761612148,-122.429587674999,"(37.761612148, -122.429587674999)"
2013-048,(6) Complete,Ping Yuen,895,Pacific,Ave,94133,895 PACIFIC AVE 94133,3,Chinatown,Chinatown,MOHCD,RAD Phase 2,0,Rehabilitation,Rental,11/30/2016,,10/24/2016,10/24/2016,08/30/2018,Chinatown Community Development Center,,"Ping Yuen, LP",201510270842,2015-014710PRJ,http://propertymap.sfplanning.org/?search=2015-014710PRJ, ,,,,,234,233,1,100,0,0,46,91,75,21,0,14,1,2bd,233,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,37.796297407,-122.409574306999,"(37.796297407, -122.409574306999)"
2013-051,(5) First Construction Document Issued,Transbay Block 8 (Affordable Component),250,Fremont,St,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Multifamily,Transbay,New Construction,Rental,12/20/2016,07/13/2016,11/10/2016,11/10/2016,07/01/2019,Related California,Tenderloin Neighborhood Development Corporation,"T8 Housing Partners, LP",,Not Applicable,,,,,,,80,79,1,99,0,0,39,16,24,0,0,0,1,1bd,79,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,37.788171815,-122.394693236999,"(37.788171815, -122.394693236999)"
2017-046,(1) Preliminary Phase,180 Jones (Land Dedication Site),180,Jones,St,94102,Planning address not yet assigned,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Developer not yet selected,,,,Not Yet Available,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.782825921,-122.412155091999,"(37.782825921, -122.412155091999)"
2013-052,(3) Design with Entitlements Approved,88 Broadway Family,88,Broadway,,94111,735 DAVIS ST 94111,3,North Beach,Financial District/South Beach,MOHCD,Multifamily,0,New Construction,Rental,03/01/2019,,,03/01/2019,11/01/2020,BRIDGE Housing Corporation,John Stewart Company,Entity to be formed,,2016-007850PRJ,http://propertymap.sfplanning.org/?search=2016-007850PRJ,"2016-007850COA,2016-007850CUA,2016-007850ENV,2016-007850GPR,2016-007850PPA,2016-007850PRV,2016-007850SHD",,,,,125,124,1,99,0,16,37,47,24,0,0,0,1,2bd,124,0,0,25,0,0,0,0,5,44,0,54,11,0,5,5,0,37.799260128,-122.399617948999,"(37.799260128, -122.399617948999)"
2013-053,(3) Design with Entitlements Approved,735 Davis Senior (88 Broadway Senior),735,Davis ,St,94111,735 DAVIS ST 94111,3,North Beach,Financial District/South Beach,MOHCD,Multifamily,0,New Construction,Rental,03/01/2019,,,03/01/2019,11/01/2020,BRIDGE Housing Corporation,John Stewart Company,Entity to be formed,,2016-007850PRJ,http://propertymap.sfplanning.org/?search=2016-007850PRJ,"2016-007850COA,2016-007850CUA,2016-007850ENV,2016-007850GPR,2016-007850PPA,2016-007850PRV,2016-007850SHD",,,,,53,52,1,98,0,23,29,0,0,0,0,0,1,2bd,0,52,0,10,0,10,0,0,13,9,0,23,7,0,0,0,0,37.799211902,-122.399125154999,"(37.799211902, -122.399125154999)"
2013-054,(6) Complete,Canon Kip Community House,705,Natoma,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Multifamily,0,Rehabilitation,Rental,12/14/2016,,12/28/2015,12/28/2015,08/06/2018,Episcopal Community Services,Mercy Housing California,"Canon Kip Associates II, LP",201507131250,Not Applicable,,,,,,,104,103,1,99,22,81,0,0,0,0,0,0,1,1bd,103,0,0,103,0,0,0,0,0,21,0,82,0,0,0,0,0,37.776324677,-122.412309401999,"(37.776324677, -122.412309401999)"
2014-001,(5) First Construction Document Issued,534 Natoma,534-536,Natoma,St,94103,534 NATOMA ST 94103,6,South of Market,South of Market,MOHCD,Small Sites,0,Rehabilitation,Rental,07/01/2017,,09/11/2018,09/11/2018,12/31/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,201502128193,2015-001595PRJ,http://propertymap.sfplanning.org/?search=2015-001595PRJ,2015-001595VAR,,,,,5,5,0,100,0,0,4,1,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37.779637703,-122.408644060999,"(37.779637703, -122.408644060999)"
2014-002,(5) First Construction Document Issued,626 Mission Bay Family Housing (Mission Bay South 6 East),626,Mission Bay Blvd North,,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,Mission Bay,New Construction,Rental,08/01/2016,01/22/2016,09/21/2016,09/21/2016,08/01/2018,Tenderloin Neighborhood Development Corporation,,"1300 Fourth Street Associates, LP",201507272485,Not Applicable,,,,,,,143,142,1,99,0,0,53,46,43,0,0,0,1,2bd,142,0,0,29,0,0,0,6,23,113,0,0,0,0,0,0,0,37.771401961,-122.391771646999,"(37.771401961, -122.391771646999)"
2014-008,(5) First Construction Document Issued,Transbay Block 1 (Affordable Project),160,Folsom,St,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Multifamily,Transbay,New Construction,Ownership,11/01/2016,,,11/01/2016,09/01/2019,Tishman Speyer,,"Block One Property Holder, LP",201406259481,Not Applicable,,,,,,,76,76,0,100,0,0,42,19,15,0,0,0,0,,76,0,0,0,0,0,0,0,0,0,0,0,25,26,25,0,0,37.789981604,-122.391730222999,"(37.789981604, -122.391730222999)"
2015-001,(1) Preliminary Phase,4th and Folsom,266,4th,St,94103,Planning address not yet assigned,6,South of Market,South of Market,MOHCD,Multifamily,0,New Construction,Rental,09/15/2020,,,09/15/2020,06/15/2022,Tenderloin Neighborhood Development Corporation,,Entity to be formed,,Not Yet Available,,,,,,,70,69,1,99,0,29,12,28,0,0,0,2,1,2bd,69,0,0,21,0,21,0,0,0,0,0,69,0,0,0,0,0,37.782078573,-122.401661288999,"(37.782078573, -122.401661288999)"
2015-007,(5) First Construction Document Issued,Mission Bay South 3 East,1150,3rd,St,94158,Not Applicable,6,South of Market,Mission Bay,OCII,Multifamily,0,New Construction,Rental,11/28/2017,,,11/28/2017,10/01/2019,Chinatown Community Development Center,Swords to Plowshares,MB3E LP,,Not Applicable,,,,,,,119,118,1,99,0,12,55,30,21,0,0,0,1,2bd,118,0,0,62,0,0,0,0,62,33,0,23,0,0,0,0,0,37.773301511,-122.390238072999,"(37.773301511, -122.390238072999)"
2015-015,(6) Complete,1353-1357 Folsom,1353-1357,Folsom,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Small Sites,0,Rehabilitation,Rental,10/21/2016,,,10/21/2016,02/05/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,,Not Applicable,,,,,DOC-2016-K193479-00,01/22/2016,3,3,0,100,0,0,0,1,1,1,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37.772991533,-122.412158315999,"(37.772991533, -122.412158315999)"
2015-016,(5) First Construction Document Issued,70-72C Belcher,70-72C,Belcher,St,94114,Not Applicable,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Small Sites,0,Rehabilitation,Rental,06/15/2018,,,06/15/2018,11/15/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,,Not Applicable,,,,,DOC-2016-K193474-00,01/22/2016,5,5,0,100,0,0,0,5,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,37.768105919,-122.430443995999,"(37.768105919, -122.430443995999)"
2015-023,(3) Design with Entitlements Approved,Merry-Go-Round House,2976,23rd,St,94110,Not Applicable,9,Mission,Mission,MOHCD,Small Sites,0,Rehabilitation,Rental,05/15/2018,,,05/15/2018,,San Francisco Community Land Trust,,San Francisco Community Land Trust,,Not Applicable,,,,,,,14,14,0,100,0,0,0,0,0,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,37.754420562,-122.411738042999,"(37.754420562, -122.411738042999)"
2015-033,(2) Predevelopment Feasibility,Sunnydale - Block 6,242,Hahn,St,94134,Planning address not yet assigned,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,0,New Construction,Rental,06/01/2019,,,06/01/2019,06/01/2021,Mercy Housing California,Related California,Entity to be formed,,Not Yet Available,,,,,,,171,170,1,99,0,0,18,102,50,0,0,0,1,3bd,170,0,0,0,0,0,63,0,0,128,0,42,0,0,0,0,0,37.711091598,-122.417376167999,"(37.711091598, -122.417376167999)"
2015-047,(5) First Construction Document Issued,Sunnydale - Parcel Q,1477-1497,Sunnydale,Ave,94134,Planning address not yet assigned,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,0,New Construction,Rental,01/29/2018,,01/05/2018,01/05/2018,10/01/2019,Related California,Mercy Housing California,"Sunnydale Parcel Q Housing Partners, LP",,Not Yet Available,,,,,,,55,54,1,98,0,3,19,18,14,0,0,0,1,2bd,54,0,0,0,0,0,41,0,0,54,0,0,0,0,0,0,0,37.711536015,-122.415814802999,"(37.711536015, -122.415814802999)"
2015-051,(5) First Construction Document Issued,568-570 Natoma ,568-570,Natoma,St,94103,Not Applicable,6,South of Market,South of Market,MOHCD,Small Sites,0,Rehabilitation,Rental,11/15/2017,,,11/15/2017,05/15/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,,Not Applicable,,,,,DOC-2016-K224780-00,04/01/2016,5,5,0,100,0,0,5,0,0,0,0,1,0,,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,37.779062382,-122.409384514999,"(37.779062382, -122.409384514999)"
2016-002,(2) Predevelopment Feasibility,"HPSY II-CP, Block 10A",,Address not yet assigned,0,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Rental,09/01/2018,,,09/01/2018,09/01/2020,Tenderloin Neighborhood Development Corporation,Young Community Developers,"Candlestick 10a Associates, LP",,Not Applicable,,,,,,,140,139,1,99,0,0,20,57,58,3,1,14,1,2bd,134,0,5,35,0,0,0,0,35,49,0,55,0,0,0,0,0,37.714859113,-122.384643377999,"(37.714859113, -122.384643377999)"
2016-003,(2) Predevelopment Feasibility,"HPSY II-CP, Block 11A",0,Address not yet assigned,0,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Multifamily,Candlestick Point,New Construction,Rental,11/15/2018,,,11/15/2018,08/15/2020,San Francisco Housing Development Corporation,Mercy Housing California,"Candlestick Point 11a, LP",,Not Applicable,,,,,,,176,175,1,99,0,2,45,56,68,3,1,0,1,2bd,132,0,5,38,0,0,0,0,0,0,0,175,0,0,0,0,0,37.711190864,-122.385462806999,"(37.711190864, -122.385462806999)"
2016-004,(3) Design with Entitlements Approved,344-348 Precita,344-348,Precita,Ave,94110,Not Applicable,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites,0,Rehabilitation,Rental,05/28/2018,,,05/28/2018,11/15/2018,Mission Economic Development Agency,,"MEDA Precita Small Properties, LLC",,Not Applicable,,,,,,,3,3,0,100,0,1,1,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,37.746649676,-122.412687553999,"(37.746649676, -122.412687553999)"
2016-016,(2) Predevelopment Feasibility,Hunters View Phase III,201,West Point,Rd,94124,"0 SITUS TO BE ASSIGNED, SAN FRANCISCO, CA 94124",10,Bayview,Bayview Hunters Point,MOHCD,HOPE SF,0,New Construction,Rental,06/01/2019,,,06/01/2019,02/01/2021,John Stewart Company,Devine & Gong / Ridgepoint,"HV Partners 3, LP",,2009.1075,http://propertymap.sfplanning.org/?search=2009.1075,2009.1075,,,,,54,54,0,100,0,0,0,0,0,0,0,0,1,2bd,54,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,37.735389024,-122.378586056999,"(37.735389024, -122.378586056999)"
2016-030,(3) Design with Entitlements Approved,462 Green,462,Green,St,94133,Not Applicable,3,North Beach,North Beach,MOHCD,Small Sites,0,Rehabilitation,Rental,06/01/2018,,,06/01/2018,09/01/2018,Chinatown Community Development Center,,"CCDC Small Sites, LLC",,Not Applicable,,,,,,,6,6,0,100,0,0,0,6,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,37.799965801,-122.406855435999,"(37.799965801, -122.406855435999)"
2016-031,(4) Site Work Permit Issued,Swiss American,534,Broadway,,94133,534 BROADWAY 94133,3,North Beach,North Beach,MOHCD,Multifamily,0,Rehabilitation,Rental,06/01/2017,02/16/2018,,06/01/2017,01/01/2019,Chinatown Community Development Center,,Chinatown Community Development Center,201604285949,2016-013224PRJ,http://propertymap.sfplanning.org/?search=2016-013224PRJ,2016-013224VAR,,,,,66,65,1,98,65,0,0,0,0,0,0,0,1,SRO,65,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,37.798235436,-122.406158044999,"(37.798235436, -122.406158044999)"
